order_id,date,customer,region,product,quantity,price
1,2024-01-19,Carlos,Oeste,Monitor,1,287.38
2,2025-09-25,Diego,Este,Tablet,1,536.09
3,2024-08-12,Maria,Sur,Monitor,2,566.46
4,2024-07-08,Carlos,Norte,Laptop,3,1119.27
5,2024-02-06,Valeria,Oeste,Tablet,1,767.05
6,2024-03-12,Jorge,Centro,Monitor,5,557.02
7,2024-09-27,Maria,Sur,Laptop,5,1102.24
8,2024-06-09,Maria,Sur,Headphones,3,106.77
9,2025-03-24,Maria,Oeste,Keyboard,3,118.52
10,2024-05-31,Luis,Este,Headphones,2,144.97
11,2025-10-12,Diego,Sur,Monitor,3,315.27
12,2025-10-20,Maria,Oeste,Keyboard,3,113.2
13,2024-12-27,Valeria,Centro,Monitor,5,321.5
14,2025-08-27,Ana,Centro,Laptop,2,1120.41
15,2024-12-27,Carlos,Centro,Tablet,1,727.05
16,2025-10-10,Sofia,Oeste,Laptop,3,1451.0
17,2024-02-01,Jorge,Sur,Mouse,3,27.5
18,2024-12-20,Ana,Sur,Tablet,1,608.25
19,2024-07-21,Jorge,Norte,Tablet,3,526.91
20,2025-02-08,Carlos,Norte,Mouse,4,25.59
21,2024-10-13,Jorge,Oeste,Headphones,2,41.64
22,2025-09-30,Jorge,Sur,Keyboard,5,94.28
23,2025-07-15,Maria,Centro,Laptop,1,1498.68
24,2025-09-10,Luis,Este,Headphones,2,175.58
25,2025-11-16,Jorge,Este,Headphones,1,70.75
26,2024-08-31,Valeria,Este,Keyboard,4,96.42
27,2025-02-04,Sofia,Centro,Headphones,2,188.64
28,2024-12-02,Diego,Centro,Headphones,4,52.84
29,2025-12-02,Carlos,Sur,Monitor,4,402.95
30,2025-11-03,Sofia,Centro,Laptop,3,1459.35
31,2024-06-09,Ana,Norte,Headphones,1,52.91
32,2024-07-25,Diego,Centro,Headphones,3,108.89
33,2024-09-15,Jorge,Centro,Keyboard,2,71.0
34,2024-09-24,Maria,Oeste,Laptop,2,1142.97
35,2025-07-26,Luis,Este,Tablet,4,528.4
36,2024-04-24,Luis,Este,Laptop,2,960.63
37,2025-09-18,Carlos,Oeste,Laptop,2,922.29
38,2025-08-28,Valeria,Oeste,Keyboard,1,55.6
39,2025-06-23,Sofia,Oeste,Tablet,1,788.58
40,2024-12-02,Ana,Sur,Mouse,3,23.28
41,2025-12-31,Valeria,Centro,Laptop,2,1200.5
42,2025-09-26,Sofia,Este,Keyboard,2,64.35
43,2024-09-22,Jorge,Oeste,Tablet,3,657.14
44,2024-07-04,Carlos,Norte,Keyboard,4,60.74
45,2024-10-24,Diego,Sur,Monitor,2,223.54
46,2024-05-29,Maria,Sur,Mouse,2,39.67
47,2024-01-22,Diego,Este,Tablet,4,266.49
48,2024-07-17,Carlos,Oeste,Mouse,3,23.6
49,2025-01-21,Luis,Oeste,Keyboard,2,86.86
50,2025-03-15,Jorge,Sur,Mouse,4,21.16
51,2025-11-28,Valeria,Norte,Headphones,3,102.72
52,2024-09-16,Maria,Este,Headphones,3,100.84
53,2025-03-04,Ana,Oeste,Mouse,4,38.77
54,2024-06-15,Carlos,Centro,Headphones,3,110.48
55,2025-10-08,Sofia,Centro,Mouse,5,26.94
56,2024-07-31,Carlos,Centro,Mouse,5,17.32
57,2025-08-12,Ana,Sur,Mouse,3,19.97
58,2025-10-18,Diego,Sur,Monitor,2,563.91
59,2024-09-01,Diego,Norte,Monitor,3,443.0
60,2024-10-10,Luis,Norte,Headphones,1,161.97
61,2025-09-08,Ana,Este,Laptop,4,1091.79
62,2025-06-23,Jorge,Centro,Headphones,2,99.67
